teks
"b""RT @Rizmaya__: Semula Mencibir, Kini Terpana dgn 'Kesaktian' Pawang Hujan #MotoGPMandalika\n\nSesaat kemudian, setelah pawang melaukan ritual\xe2\x80\xa6"""
"b'@Diniandik @lucywiryono Sabar mbak gitu dah ga nonton tp ngata2in kita yg di lokasi . Sy jg di bully pdhl sy kezana beli tiket 1,6 jt beli 4 biji bayangin . Sy smpe bikin twitter buat nge Up kekecewaan saya pda #MotoGPMandalika'"
"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'"
"b'Dari Mandalika, Presiden @jokowi dan Ibu Iriana melanjutkan kunjungan kerjanya ke Bali, Minggu petang, 20 Maret 2022.\n\n#Jokowi #KawalJokowi #jokowidodo #MotoGPMandalika #MotoGP #IndonesianGP https://t.co/N3VnmuSDod'"
b'@lucywiryono Terima kasih mbak atas tread pencerahannya terkait #MotoGPMandalika . Mudah2an berbagai kekurangan diacara kali ini bisa diperbaiki dan bisa lebih baik tahun depan.'
b'yang sibuk ngurusin hal2 diluar isi nya memang hanya penonton musiman yang lebih sibuk ngurusin hal2 luar dibanding dengan isi balapannya \xf0\x9f\x98\x85 #MotoGPMandalika'
"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'"
"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'"
"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'"
"b'#MotoGPMandalika orang indo sekali nonton komen nya sibuk pawang, sampah, hujan, anggaran. bukan isi nya.. mir finis keberapa aja ga tau'"
b'Menkumham menyambut dan mendukung pelaksanaan Event Internasional MotoGP 2022.\n\n#BHPSemarang #KanwilKemenkumhamJateng\n#AYuspahruddin\n#KumhamPasti #BeritaTerkini @bhp_semarang #twitter @Kemenkumham_RI #socialmedia #Kemenkumham #KemenkumhamRI #News #MotoGP #MotoGPMandalika #sport https://t.co/PWs07CQPll'
"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'"
"b'RT @lampungpost_: Pembalap Indonesia yang turun di ajang Moto3, Mario Suryo Aji, tampil gemilang selama babak kualifikasi di Sirkuit Mandal\xe2\x80\xa6'"
"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'"
b'Dana triliunan gelaran MotoGP hingga penghapusan 300 ayat Alquran\n\nhttps://t.co/AkQ9CMPh6h\n\n#MotoGPMandalika \n#300ayatal\n#MMC'
b'Presiden @jokowi mengapresiasi seluruh pihak baik penyelenggara maupun pekerja yang telah bekerja siang malam menyiapkan event ini. \nSegala bentuk kekurangan menjadi evaluasi untuk menyempurnakan event ini di tahun-tahun selanjutnya. \n#Jokowi #KawalJokowi #MotoGPMandalika https://t.co/iHNxYeR8lQ'
b'@Fahrihamzah @MotoGP Semoga pariwisata di NTB kembali menggeliat. Ekonomi masyarakat kembali berputar. #MotoGPMandalika .'
"b'Presiden Joko Widodo ucapkan selamat kepada setiap pihak yang telah berpartisipasi dalam kesuksesan MotoGP di Sirkuit Mandalika. \n\nStreaming: Kanal YouTube ""MetroTVNews"" \n\n#Primetimenewsmetrotv \n#MomenMotoGPMandalika\n#MotoGPMandalika https://t.co/lm5f07Jnjt'"
"b'RT @MoelyonovDjalil: Pawang Hujan (Sebuah Thread)\n\nPertamina MotoGP di Mandalika baru saja usai digelar. Terlepas dari sukses tidaknya, Pak\xe2\x80\xa6'"
b'Miris banget yg gak beli tiket gak disana dan mereka komentari orang2 yg disana ngerasain real kaya gimana buruk nya #MotoGPMandalika penonton terlantar ... kita support dan pny ekspektasi soal ini krn harga tiket jutaan ga dikasi atap kehujanan terlantar .. WAJAR kalo NGELUH https://t.co/T0wpREw8KM'
b'@lucywiryono Semoga kita makin sukses sbg penyelenggara  #MotoGPMandalika dimasa depan.'
"b""Karena kita tidak tahu tentang apa terjadi dan keajaiban di dunia ini. Terkadang kejadian di luar nalar dan logika manusia pun bisa terjadi. Wallahu a'lam bisshowab \n\n#pawanghujanmandalika #MotoGP #MotoGPMandalika #memalukan #rara"""
b'Yang pengen jadi pawang hujan seperti Mbak Rara mana suaranyaa?\n\nhttps://t.co/KKXL0YTZjd\n\n#beritaterkini #motogp2022 #indonesiangp #shaman #motogpmandalika #pertaminamandalika #pawanghujan #mbakrara #alexrins #fabioquartararo #pandangan #pandanganjogja https://t.co/Gy2DSWUIsi'
b'Miguel Oliveira Persembahkan Trofi MotoGP Mandalika ke Staf Hotel\n\nSelengkapnya simak infografis. \n\n#iNews #Infografis #MotoGPMandalika #SirkuitMandalika #MotoGP #MiguelOliviera #IniBaruBerita https://t.co/RJ63Ija37D'
"b'profesi pawang hujan lebih mulia, dari pada mereka yang menertawakan pawang hujan tapi buang sampah sembarangan \n\n#MotoGP #MotoGPMandalika #rara #netizen #memalukan https://t.co/IByhSoacsW'"
"b'RT @Metro_TV: Mana momen MotoGP yang paling berkesan bagi Anda?\n\nStreaming: Kanal YouTube ""MetroTVNews""\n\n#NewslineMetroTV \n#MomenMotoGPMand\xe2\x80\xa6'"
"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'"
"b'Mana momen MotoGP yang paling berkesan bagi Anda?\n\nStreaming: Kanal YouTube ""MetroTVNews""\n\n#NewslineMetroTV \n#MomenMotoGPMandalika\n#MotoGPMandalika https://t.co/U2RDUnEgnk'"
b'Kelelahan dan keributan orang2 saat gak ada bis utk ke parkiran . Jarak hampir 4 kilo meter dan kondisi hujan orang2 sangat lelah #MotoGPMandalika penonton terlantar @sandiuno @CNNIndonesia @tvOneNews @Bolanet @PemerhatiNTB https://t.co/N7gslQiOfd'
b'Keberadaan pawang hujan di Nusantara merupakan fakta yang hingga kini sulit terelakkan. Kepercayaan kepada kemampuan semacam itu hampir ada di setiap daerah.\n\n#besmart #besmartidn #beritaterkini #infoterbaru #pawanghujan #mandalika #motogpmandalika #mbakrara #rara https://t.co/WtVPP413gB'
"b""RT @Rizmaya__: Semula Mencibir, Kini Terpana dgn 'Kesaktian' Pawang Hujan #MotoGPMandalika\n\nSesaat kemudian, setelah pawang melaukan ritual\xe2\x80\xa6"""
b'Semoga kedepannya #MotoGPMandalika  gak ky gini lg \xf0\x9f\x98\xad\xf0\x9f\xa5\xb2'
"b'Sampe ak bela2in bikin twitter supaya ak pny platform aja buat nulis . Jujur ak kecewa bgt beli tiket #MotoGPMandalika  dengan harga 1,6 jt ak beli 2 kaya lumayan bgt harganya ... trnyata bener2 ga sesuai sm harga ...'"
b'@P3nj3l4j4h_id Membelokan kesuksesan #MotoGPMandalika \xf0\x9f\xa4\x94 \n\nTidak mau mengakui \xf0\x9f\xa4\xad'
